Narration tail (as posted),Lines,$ ex GST,Register contractor,Retailer account,Directory candidates on this street,Your decision (site name),Notes,Web verification status,Verification source,Google search link
21 Mississippi Street,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2221+Mississippi+Street%22+Logan+QLD+park
16 Coral Street,1,$17.65,Journal (no supplier),,Coral Park,Coral Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2216+Coral+Street%22+Logan+QLD+park
Lot 905 Amber Crescent,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+905+Amber+Crescent%22+Logan+QLD+park
Lot 905 Enclave Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+905+Enclave+Drive%22+Logan+QLD+park
Lot 905 Pacific Highway,1,$17.65,Journal (no supplier),,Logan River Parklands,Logan River Parklands,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Lot+905+Pacific+Highway%22+Logan+QLD+park
19 Norman Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2219+Norman+Drive%22+Logan+QLD+park
42 Derwent Close,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2242+Derwent+Close%22+Logan+QLD+park
42 Sugarwood Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2242+Sugarwood+Road%22+Logan+QLD+park
421 Peppertree Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22421+Peppertree+Drive%22+Logan+QLD+park
73 Melaleuca Way,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2273+Melaleuca+Way%22+Logan+QLD+park
75 Kimberley Drive,1,$17.65,Journal (no supplier),,Pardoo Park,Pardoo Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2275+Kimberley+Drive%22+Logan+QLD+park
75 Mount Huntley Street,1,$17.65,Journal (no supplier),,Huntley Park,Huntley Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2275+Mount+Huntley+Street%22+Logan+QLD+park
75 Wongawallan Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2275+Wongawallan+Drive%22+Logan+QLD+park
55 Riverton Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2255+Riverton+Drive%22+Logan+QLD+park
134 Tygum Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22134+Tygum+Road%22+Logan+QLD+park
117 Panitz Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22117+Panitz+Drive%22+Logan+QLD+park
21 Geoff Philp Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2221+Geoff+Philp+Drive%22+Logan+QLD+park
21 Bruce Baker Crescent,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2221+Bruce+Baker+Crescent%22+Logan+QLD+park
21 Glindemann Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2221+Glindemann+Drive%22+Logan+QLD+park
15 Egret Court,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2215+Egret+Court%22+Logan+QLD+park
125 Weatherly Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22125+Weatherly+Drive%22+Logan+QLD+park
130 Tygum Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22130+Tygum+Road%22+Logan+QLD+park
50 Hillman Street,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2250+Hillman+Street%22+Logan+QLD+park
203 Myrtle Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22203+Myrtle+Road%22+Logan+QLD+park
20 Promenade Court,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2220+Promenade+Court%22+Logan+QLD+park
131 Herriman Court,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22131+Herriman+Court%22+Logan+QLD+park
145 Crest Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22145+Crest+Road%22+Logan+QLD+park
116 Geoff Philp Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22116+Geoff+Philp+Drive%22+Logan+QLD+park
31 Hillman Street,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2231+Hillman+Street%22+Logan+QLD+park
31 Peony Street,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2231+Peony+Street%22+Logan+QLD+park
19 Egret Court,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2219+Egret+Court%22+Logan+QLD+park
19 Hiddenvale Circuit,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2219+Hiddenvale+Circuit%22+Logan+QLD+park
23 Kelly Street,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2223+Kelly+Street%22+Logan+QLD+park
316 Waller Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22316+Waller+Road%22+Logan+QLD+park
32 Cambogan Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2232+Cambogan+Road%22+Logan+QLD+park
32 Janita Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2232+Janita+Drive%22+Logan+QLD+park
